Gemeinde,Postleitzahl,Lon,Lat,Bundesland,SchÅler
Neuberg an der MÅrz,2654,47.6765,15.7463,Niederîsterreich,121
Grafenwîrth,3483,48.4333,15.7833,Niederîsterreich,121
Bad Wimsbach-Neydharting,4654,48.0398,13.8824,Oberîsterreich,121
Maria Rain,9161,46.5408,14.2827,KÑrnten,120
Brixen im Thale,6364,47.45,12.25,Tirol,120
Arbesbach,3920,48.5667,14.95,Niederîsterreich,120
Dobersberg,3843,48.9151,15.3219,Niederîsterreich,120
Bad Gro·pertholz,3922,48.5712,14.9508,Niederîsterreich,120
Aldrans,6071,47.25,11.45,Tirol,120
Pîndorf,4891,48.0088,13.342,Oberîsterreich,119
Nu·dorf am Haunsberg,5151,47.9367,12.9608,Salzburg,119
Adlwang,4541,47.9923,14.1936,Oberîsterreich,119
Spillern,2104,48.3833,16.25,Niederîsterreich,117
Sandl,4251,48.5219,14.6379,Oberîsterreich,117
Rietz,6421,47.2833,11.05,Tirol,117
Himmelberg,9552,46.7052,14.0451,KÑrnten,117
Albrechtsberg an der Gro·en Krems,3613,48.4299,15.394,Niederîsterreich,117
Kirchberg-Thening,4062,48.2661,14.1452,Oberîsterreich,116
Ertl,3355,47.977,14.6313,Niederîsterreich,116
Drosendorf-Zissersdorf,2094,48.8177,15.6256,Niederîsterreich,116
Bad Deutsch-Altenburg,2405,48.1342,16.9062,Niederîsterreich,116
Stans,6135,47.3667,11.7167,Tirol,115
Reichraming,4462,47.8833,14.4667,Oberîsterreich,115
Lohnsburg am Kobernau·erwald,4923,48.1555,13.4802,Oberîsterreich,115
Haselsdorf-Tobelbad,8144,46.9744,15.4044,Steiermark,115
Gralla,8431,46.7855,15.54,Steiermark,115
Gallspach,4713,48.2439,13.7954,Oberîsterreich,115
Breitenwang,6600,47.4833,10.7167,Tirol,115
Werndorf,8402,46.9242,15.4908,Steiermark,114
Schînbach,3632,48.4333,15.1333,Niederîsterreich,114
SchlÅ·lberg,4632,48.1883,13.8967,Oberîsterreich,114
